store_id,product_id,stock_on_hand,reorder_level,last_restocked_date
STR-0010,PROD-00020,373,32,2025-09-11
STR-0010,PROD-00021,110,50,2025-09-10
STR-0010,PROD-00022,132,76,2025-09-11
STR-0010,PROD-00023,371,44,2025-09-13
STR-0010,PROD-00024,127,73,2025-09-12
STR-0011,PROD-00019,164,67,2023-12-28
STR-0011,PROD-00020,478,44,2023-12-31
STR-0011,PROD-00021,241,94,2023-12-30
STR-0011,PROD-00022,447,79,2023-12-31
STR-0011,PROD-00023,434,68,2023-12-31
STR-0011,PROD-00024,107,65,2023-12-26
STR-0012,PROD-00019,406,73,2025-09-12
STR-0012,PROD-00020,378,73,2025-09-10
STR-0012,PROD-00021,333,30,2025-09-12
STR-0012,PROD-00022,93,65,2025-09-11
STR-0012,PROD-00023,147,42,2025-09-11
STR-0012,PROD-00024,229,25,2025-09-12
STR-0013,PROD-00019,365,28,2025-09-11
STR-0013,PROD-00020,95,12,2025-09-10
STR-0013,PROD-00021,132,39,2025-09-10
STR-0013,PROD-00022,272,81,2025-09-13
STR-0013,PROD-00023,262,42,2025-09-12
STR-0013,PROD-00024,250,58,2025-09-13
STR-0014,PROD-00025,306,91,2025-09-09
STR-0014,PROD-00026,561,89,2025-09-13
STR-0014,PROD-00027,422,95,2025-09-13
STR-0014,PROD-00028,103,15,2025-09-10
STR-0014,PROD-00029,192,15,2025-09-12
STR-0014,PROD-00030,128,11,2025-09-11
STR-0014,PROD-00031,240,27,2025-09-11
STR-0015,PROD-00025,173,20,2025-09-09
STR-0015,PROD-00026,90,40,2025-09-12
STR-0015,PROD-00027,279,53,2025-09-11
STR-0015,PROD-00028,453,49,2025-09-12
STR-0015,PROD-00029,236,42,2025-09-13
STR-0015,PROD-00030,223,73,2025-09-10
STR-0015,PROD-00031,499,18,2025-09-13
STR-0016,PROD-00025,27,23,2025-09-10
STR-0016,PROD-00026,186,60,2025-09-10
STR-0016,PROD-00027,136,34,2025-09-09
STR-0016,PROD-00028,325,67,2025-09-12
STR-0016,PROD-00029,119,89,2025-09-10
STR-0016,PROD-00030,253,24,2025-09-13
STR-0016,PROD-00031,183,14,2025-09-11
STR-0017,PROD-00025,289,57,2021-01-01
STR-0017,PROD-00026,83,16,2021-01-01
STR-0017,PROD-00027,119,23,2021-01-01
STR-0017,PROD-00028,476,95,2021-01-01
STR-0017,PROD-00029,445,89,2021-01-01
STR-0017,PROD-00030,289,57,2021-01-01
STR-0017,PROD-00031,189,37,2021-01-01
STR-0018,PROD-00025,43,33,2025-09-11
STR-0018,PROD-00026,408,74,2025-09-13
STR-0018,PROD-00027,460,87,2025-09-12
STR-0018,PROD-00028,163,40,2025-09-13
STR-0018,PROD-00029,228,75,2025-09-10
STR-0018,PROD-00030,87,81,2025-09-11
STR-0018,PROD-00031,238,44,2025-09-11
STR-0019,PROD-00025,249,80,2025-09-09
STR-0019,PROD-00026,330,52,2025-09-11
STR-0019,PROD-00027,215,68,2025-09-13
STR-0019,PROD-00028,219,38,2025-09-08
STR-0019,PROD-00029,283,77,2025-09-12
STR-0019,PROD-00030,160,30,2025-09-10
STR-0019,PROD-00031,196,72,2025-09-13
STR-0020,PROD-00025,208,92,2025-09-13
STR-0020,PROD-00026,278,97,2025-09-12
STR-0020,PROD-00027,110,47,2025-09-09
STR-0020,PROD-00028,272,53,2025-09-11
STR-0020,PROD-00029,321,33,2025-09-11
STR-0020,PROD-00030,66,15,2025-09-11
STR-0020,PROD-00031,200,55,2025-09-12
STR-0021,PROD-00032,415,20,2025-09-13
STR-0021,PROD-00033,374,11,2025-09-12
STR-0021,PROD-00034,122,12,2025-09-11
STR-0021,PROD-00035,79,59,2025-09-09
STR-0021,PROD-00036,394,12,2025-09-11
STR-0021,PROD-00037,428,74,2025-09-11
STR-0022,PROD-00032,142,32,2025-09-10
STR-0022,PROD-00033,37,25,2025-09-12
STR-0022,PROD-00034,264,93,2025-09-10
STR-0022,PROD-00035,94,89,2025-09-10
STR-0022,PROD-00036,410,51,2025-09-11
STR-0022,PROD-00037,170,25,2025-09-12
STR-0023,PROD-00032,225,49,2025-09-11
STR-0023,PROD-00033,435,54,2025-09-11
STR-0023,PROD-00034,261,76,2025-09-11
STR-0023,PROD-00035,425,97,2025-09-12
STR-0023,PROD-00036,112,33,2025-09-13
STR-0023,PROD-00037,270,90,2025-09-10
STR-0024,PROD-00032,55,14,2025-09-09
STR-0024,PROD-00033,120,81,2025-09-05
STR-0024,PROD-00034,260,98,2025-09-11
STR-0024,PROD-00035,406,86,2025-09-12
STR-0024,PROD-00036,137,14,2025-09-12
STR-0024,PROD-00037,80,66,2025-09-12
STR-0025,PROD-00032,452,78,2025-09-11
STR-0025,PROD-00033,122,57,2025-09-13
STR-0025,PROD-00034,351,16,2025-09-13
STR-0025,PROD-00035,152,29,2025-09-10
STR-0025,PROD-00036,206,73,2025-09-12
STR-0025,PROD-00037,272,16,2025-09-11
STR-0026,PROD-00032,382,40,2025-09-12
STR-0026,PROD-00033,29,26,2025-09-09
STR-0026,PROD-00034,298,20,2025-09-12
STR-0026,PROD-00035,137,71,2025-09-09
STR-0026,PROD-00036,161,85,2025-09-09
STR-0026,PROD-00037,138,41,2025-09-10
STR-0027,PROD-00032,94,13,2025-09-09
STR-0027,PROD-00033,473,42,2025-09-13
STR-0027,PROD-00034,79,71,2025-09-07
STR-0027,PROD-00035,93,32,2025-09-09
STR-0027,PROD-00036,122,56,2025-09-11
STR-0027,PROD-00037,278,61,2025-09-10
STR-0028,PROD-00032,61,55,2025-09-11
STR-0028,PROD-00033,346,60,2025-09-11
STR-0028,PROD-00034,24,16,2025-09-12
STR-0028,PROD-00035,235,51,2025-09-11
STR-0028,PROD-00036,288,90,2025-09-09
STR-0028,PROD-00037,71,23,2025-09-11
STR-0029,PROD-00038,271,13,2025-09-10
STR-0029,PROD-00039,317,65,2025-09-12
STR-0029,PROD-00040,390,32,2025-09-11
STR-0029,PROD-00041,306,60,2025-09-12
STR-0029,PROD-00042,343,97,2025-09-10
STR-0029,PROD-00043,186,72,2025-09-10
STR-0030,PROD-00044,125,27,2025-09-12
STR-0030,PROD-00045,171,62,2025-09-09
STR-0030,PROD-00046,232,96,2025-09-11
STR-0030,PROD-00047,99,94,2025-09-09
STR-0030,PROD-00048,136,93,2025-09-11
STR-0030,PROD-00049,225,79,2025-09-11
STR-0031,PROD-00044,191,32,2025-09-11
STR-0031,PROD-00045,316,74,2025-09-12
STR-0031,PROD-00046,165,51,2025-09-07
STR-0031,PROD-00047,313,68,2025-09-12
STR-0031,PROD-00048,334,79,2025-09-12
STR-0031,PROD-00049,77,76,2025-09-11
STR-0032,PROD-00044,96,58,2025-09-10
STR-0032,PROD-00045,176,34,2025-09-11
STR-0032,PROD-00046,222,76,2025-09-11
STR-0032,PROD-00047,434,97,2025-09-12
STR-0032,PROD-00048,196,25,2025-09-10
STR-0032,PROD-00049,178,90,2025-09-10
STR-0033,PROD-00044,287,22,2025-09-11
STR-0033,PROD-00045,350,77,2025-09-13
STR-0033,PROD-00046,478,60,2025-09-13
STR-0033,PROD-00047,206,91,2025-09-09
STR-0033,PROD-00048,132,23,2025-09-12
STR-0033,PROD-00049,384,34,2025-09-11
STR-0034,PROD-00044,114,50,2025-09-12
STR-0034,PROD-00045,272,91,2025-09-11
STR-0034,PROD-00046,204,69,2025-09-11
STR-0034,PROD-00047,211,20,2025-09-12
STR-0034,PROD-00048,59,18,2025-09-10
STR-0034,PROD-00049,425,74,2025-09-13
STR-0035,PROD-00044,161,48,2025-09-10
STR-0035,PROD-00045,326,70,2025-09-13
STR-0035,PROD-00046,181,22,2025-09-12
STR-0035,PROD-00047,103,21,2025-09-11
STR-0035,PROD-00048,173,18,2025-09-10
STR-0035,PROD-00049,480,79,2025-09-13
STR-0036,PROD-00044,79,63,2025-09-09
STR-0036,PROD-00045,285,36,2025-09-10
STR-0036,PROD-00046,196,76,2025-09-10
STR-0036,PROD-00047,82,30,2025-09-09
STR-0036,PROD-00048,259,48,2025-09-11
STR-0036,PROD-00049,492,70,2025-09-12
STR-0037,PROD-00044,195,34,2025-09-09
STR-0037,PROD-00045,138,46,2025-09-10
STR-0037,PROD-00046,108,83,2025-09-11
STR-0037,PROD-00047,156,22,2025-09-09
STR-0037,PROD-00048,409,35,2025-09-11
STR-0037,PROD-00049,99,35,2025-09-10
STR-0038,PROD-00050,293,58,2021-01-01
STR-0038,PROD-00051,216,43,2021-01-01
STR-0038,PROD-00052,336,67,2021-01-01
STR-0038,PROD-00053,69,13,2021-01-01
STR-0038,PROD-00054,344,68,2021-01-01
STR-0038,PROD-00055,66,13,2021-01-01
STR-0038,PROD-00056,121,24,2021-01-01
STR-0038,PROD-00057,416,83,2021-01-01
STR-0038,PROD-00058,61,12,2021-01-01
STR-0038,PROD-00059,77,15,2021-01-01
STR-0039,PROD-00050,205,11,2025-09-13
STR-0039,PROD-00051,304,92,2025-09-11
STR-0039,PROD-00052,152,58,2025-09-11
STR-0039,PROD-00053,475,71,2025-09-13
STR-0039,PROD-00054,109,33,2025-09-09
STR-0039,PROD-00055,501,76,2025-09-12
STR-0039,PROD-00056,494,11,2025-09-13
STR-0039,PROD-00057,144,41,2025-09-10
STR-0039,PROD-00058,264,24,2025-09-11
STR-0039,PROD-00059,436,82,2025-09-13
STR-0040,PROD-00050,285,29,2025-09-12
STR-0040,PROD-00051,368,10,2025-09-11
STR-0040,PROD-00052,70,20,2025-09-09
STR-0040,PROD-00053,69,42,2025-09-11
STR-0040,PROD-00054,460,21,2025-09-13
STR-0040,PROD-00055,91,40,2025-09-11
STR-0040,PROD-00056,193,52,2025-09-09
STR-0040,PROD-00057,409,82,2025-09-13
STR-0040,PROD-00058,240,64,2025-09-11
STR-0040,PROD-00059,91,64,2025-09-12
STR-0041,PROD-00050,505,37,2025-09-12
STR-0041,PROD-00051,107,99,2025-09-12
STR-0041,PROD-00052,251,78,2025-09-09
STR-0041,PROD-00053,240,70,2025-09-12
STR-0041,PROD-00054,297,39,2025-09-13
STR-0041,PROD-00055,145,84,2025-09-11
STR-0041,PROD-00056,332,92,2025-09-13
STR-0041,PROD-00057,375,50,2025-09-13
STR-0041,PROD-00058,417,34,2025-09-13
STR-0041,PROD-00059,466,53,2025-09-12
STR-0042,PROD-00050,80,48,2025-09-10
STR-0042,PROD-00051,424,84,2025-09-13
STR-0042,PROD-00052,77,34,2025-09-10
STR-0042,PROD-00053,65,20,2025-09-09
STR-0042,PROD-00054,149,46,2025-09-10
STR-0042,PROD-00055,237,68,2025-09-12
STR-0042,PROD-00056,132,100,2025-09-07
STR-0042,PROD-00057,295,56,2025-09-12
STR-0042,PROD-00058,104,84,2025-09-10
STR-0042,PROD-00059,164,51,2025-09-10
STR-0043,PROD-00050,253,98,2025-09-08
STR-0043,PROD-00051,91,53,2025-09-12
STR-0043,PROD-00052,209,89,2025-09-11
STR-0043,PROD-00053,325,70,2025-09-13
STR-0043,PROD-00054,181,57,2025-09-09
STR-0043,PROD-00055,198,84,2025-09-13
STR-0043,PROD-00056,107,30,2025-09-11
STR-0043,PROD-00057,190,52,2025-09-07
STR-0043,PROD-00058,510,95,2025-09-13
STR-0043,PROD-00059,129,64,2025-09-09
STR-0044,PROD-00060,216,47,2025-09-10
STR-0044,PROD-00061,101,49,2025-09-10
STR-0044,PROD-00062,92,40,2025-09-12
STR-0044,PROD-00063,437,54,2025-09-13
STR-0044,PROD-00064,149,57,2025-09-08
STR-0044,PROD-00065,232,56,2025-09-09
STR-0045,PROD-00060,153,82,2025-09-09
STR-0045,PROD-00061,431,87,2025-09-11
STR-0045,PROD-00062,116,19,2025-09-13
STR-0045,PROD-00063,46,26,2025-09-10
STR-0045,PROD-00064,138,10,2025-09-09
STR-0045,PROD-00065,240,91,2025-09-10
STR-0046,PROD-00060,112,24,2025-09-13
STR-0046,PROD-00061,267,15,2025-09-12
STR-0046,PROD-00062,80,47,2025-09-11
STR-0046,PROD-00063,172,74,2025-09-09
STR-0046,PROD-00064,179,31,2025-09-10
STR-0046,PROD-00065,91,67,2025-09-11
STR-0047,PROD-00060,392,84,2025-09-11
STR-0047,PROD-00061,289,51,2025-09-13
STR-0047,PROD-00062,413,68,2025-09-11
STR-0047,PROD-00063,419,83,2025-09-11
STR-0047,PROD-00064,221,10,2025-09-11
STR-0047,PROD-00065,441,68,2025-09-13
STR-0048,PROD-00060,214,78,2025-09-10
STR-0048,PROD-00061,46,28,2025-09-07
STR-0048,PROD-00062,452,79,2025-09-10
STR-0048,PROD-00063,160,81,2025-09-10
STR-0048,PROD-00064,209,82,2025-09-10
STR-0048,PROD-00065,97,74,2025-09-10
STR-0049,PROD-00060,402,67,2025-09-12
STR-0049,PROD-00061,204,69,2025-09-10
STR-0049,PROD-00062,120,93,2025-09-11
STR-0049,PROD-00063,374,12,2025-09-12
STR-0049,PROD-00064,137,94,2025-09-11
STR-0049,PROD-00065,163,46,2025-09-11
STR-0050,PROD-00060,99,51,2025-09-12
STR-0050,PROD-00061,237,99,2025-09-10
STR-0050,PROD-00062,118,65,2025-09-11
STR-0050,PROD-00063,100,84,2025-09-11
STR-0050,PROD-00064,184,86,2025-09-12
STR-0050,PROD-00065,240,32,2025-09-11
STR-0051,PROD-00060,113,51,2025-09-11
STR-0051,PROD-00061,179,60,2025-09-13
STR-0051,PROD-00062,69,40,2025-09-08
STR-0051,PROD-00063,109,15,2025-09-09
STR-0051,PROD-00064,115,62,2025-09-08
STR-0051,PROD-00065,172,45,2025-09-13
STR-0052,PROD-00066,297,59,2021-01-01
STR-0052,PROD-00067,378,75,2021-01-01
STR-0052,PROD-00068,96,19,2021-01-01
STR-0052,PROD-00069,474,94,2021-01-01
STR-0052,PROD-00070,149,29,2021-01-01
STR-0052,PROD-00071,124,24,2021-01-01
STR-0052,PROD-00072,488,97,2021-01-01
STR-0053,PROD-00066,199,30,2025-09-09
STR-0053,PROD-00067,235,22,2025-09-12
STR-0053,PROD-00068,332,13,2025-09-09
STR-0053,PROD-00069,239,75,2025-09-12
STR-0053,PROD-00070,170,59,2025-09-10
STR-0053,PROD-00071,317,77,2025-09-13
STR-0053,PROD-00072,238,58,2025-09-09
STR-0054,PROD-00066,139,50,2025-09-09
STR-0054,PROD-00067,115,50,2025-09-11
STR-0054,PROD-00068,236,66,2025-09-11
STR-0054,PROD-00069,212,29,2025-09-10
STR-0054,PROD-00070,331,58,2025-09-12
STR-0054,PROD-00071,287,26,2025-09-12
STR-0054,PROD-00072,141,95,2025-09-10
STR-0055,PROD-00066,189,71,2025-09-11
STR-0055,PROD-00067,270,14,2025-09-11
STR-0055,PROD-00068,145,51,2025-09-10
STR-0055,PROD-00069,59,24,2025-09-07
STR-0055,PROD-00070,96,12,2025-09-11
STR-0055,PROD-00071,234,20,2025-09-10
STR-0055,PROD-00072,90,85,2025-09-09
STR-0056,PROD-00066,234,42,2025-09-11
STR-0056,PROD-00067,345,69,2025-09-13
STR-0056,PROD-00068,153,29,2025-09-12
STR-0056,PROD-00069,54,46,2025-09-07
STR-0056,PROD-00070,430,52,2025-09-11
STR-0056,PROD-00071,207,34,2025-09-09
STR-0056,PROD-00072,281,51,2025-09-09
STR-0057,PROD-00073,386,50,2025-09-13
STR-0057,PROD-00074,235,89,2025-09-09
STR-0057,PROD-00075,47,28,2025-09-08
STR-0057,PROD-00076,232,91,2025-09-13
STR-0057,PROD-00077,240,94,2025-09-11
STR-0057,PROD-00078,368,37,2025-09-11
STR-0057,PROD-00079,194,53,2025-09-11
STR-0058,PROD-00073,400,11,2025-09-11
STR-0058,PROD-00074,88,31,2025-09-10
STR-0058,PROD-00075,287,53,2025-09-12
STR-0058,PROD-00076,346,43,2025-09-12
STR-0058,PROD-00077,67,34,2025-09-09
STR-0058,PROD-00078,178,28,2025-09-11
STR-0058,PROD-00079,172,28,2025-09-11
STR-0059,PROD-00073,429,74,2025-09-13
STR-0059,PROD-00074,221,78,2025-09-11
STR-0059,PROD-00075,25,11,2025-09-09
STR-0059,PROD-00076,79,38,2025-09-08
STR-0059,PROD-00077,177,15,2025-09-10
STR-0059,PROD-00078,352,83,2025-09-11
STR-0059,PROD-00079,395,85,2025-09-10
STR-0060,PROD-00073,114,19,2025-08-29
STR-0060,PROD-00074,302,50,2025-08-31
STR-0060,PROD-00075,279,20,2025-08-28
STR-0060,PROD-00076,392,61,2025-08-29
STR-0060,PROD-00077,229,96,2025-08-27
STR-0060,PROD-00078,245,40,2025-08-28
STR-0060,PROD-00079,568,72,2025-08-31
STR-0061,PROD-00073,212,45,2025-09-12
STR-0061,PROD-00074,86,78,2025-09-10
STR-0061,PROD-00075,237,82,2025-09-10
STR-0061,PROD-00076,275,39,2025-09-11
STR-0061,PROD-00077,360,38,2025-09-12
STR-0061,PROD-00078,226,46,2025-09-09
STR-0061,PROD-00079,61,10,2025-09-10
STR-0062,PROD-00073,363,67,2025-09-09
STR-0062,PROD-00074,284,29,2025-09-13
STR-0062,PROD-00075,425,10,2025-09-12
STR-0062,PROD-00076,217,95,2025-09-09
STR-0062,PROD-00077,151,10,2025-09-11
STR-0062,PROD-00078,238,51,2025-09-11
STR-0062,PROD-00079,226,68,2025-09-10
STR-0063,PROD-00073,253,36,2025-09-11
STR-0063,PROD-00074,129,46,2025-09-08
STR-0063,PROD-00075,129,61,2025-09-11
STR-0063,PROD-00076,100,87,2025-09-08
STR-0063,PROD-00077,40,26,2025-09-10
STR-0063,PROD-00078,196,96,2025-09-11
STR-0063,PROD-00079,78,17,2025-09-09
STR-0064,PROD-00073,95,59,2025-09-11
STR-0064,PROD-00074,266,35,2025-09-12
STR-0064,PROD-00075,462,17,2025-09-11
STR-0064,PROD-00076,140,80,2025-09-10
STR-0064,PROD-00077,137,46,2025-09-10
STR-0064,PROD-00078,528,78,2025-09-13
STR-0064,PROD-00079,119,49,2025-09-09
STR-0065,PROD-00080,269,25,2025-09-13
STR-0065,PROD-00081,75,17,2025-09-10
STR-0065,PROD-00082,413,80,2025-09-11
STR-0065,PROD-00083,337,71,2025-09-12
STR-0065,PROD-00084,384,83,2025-09-08
STR-0065,PROD-00085,177,64,2025-09-13
STR-0065,PROD-00086,326,19,2025-09-13
STR-0065,PROD-00087,96,82,2025-09-12
STR-0065,PROD-00088,366,51,2025-09-13
STR-0065,PROD-00089,520,79,2025-09-13
STR-0066,PROD-00080,249,40,2025-09-13
STR-0066,PROD-00081,58,32,2025-09-10
STR-0066,PROD-00082,141,81,2025-09-11
STR-0066,PROD-00083,388,31,2025-09-12
STR-0066,PROD-00084,75,33,2025-09-09
STR-0066,PROD-00085,98,81,2025-09-07
STR-0066,PROD-00086,101,18,2025-09-09
STR-0066,PROD-00087,497,51,2025-09-13
STR-0066,PROD-00088,186,45,2025-09-13
STR-0066,PROD-00089,136,27,2025-09-10
STR-0067,PROD-00080,128,36,2025-09-10
STR-0067,PROD-00081,56,32,2025-09-09
STR-0067,PROD-00082,278,58,2025-09-12
STR-0067,PROD-00083,332,21,2025-09-12
STR-0067,PROD-00084,484,24,2025-09-12
STR-0067,PROD-00085,334,76,2025-09-11
STR-0067,PROD-00086,91,25,2025-09-10
STR-0067,PROD-00087,500,74,2025-09-13
STR-0067,PROD-00088,189,47,2025-09-12
STR-0067,PROD-00089,500,54,2025-09-13
STR-0068,PROD-00080,201,43,2025-09-11
STR-0068,PROD-00081,323,45,2025-09-11
STR-0068,PROD-00082,112,19,2025-09-10
STR-0068,PROD-00083,299,11,2025-09-11
STR-0068,PROD-00084,378,96,2025-09-11
STR-0068,PROD-00085,123,62,2025-09-09
STR-0068,PROD-00086,410,57,2025-09-12
STR-0068,PROD-00087,298,69,2025-09-12
STR-0068,PROD-00088,287,18,2025-09-12
STR-0068,PROD-00089,299,11,2025-09-11
STR-0069,PROD-00080,122,51,2023-12-31
STR-0069,PROD-00081,124,87,2023-12-30
STR-0069,PROD-00082,143,96,2023-12-31
STR-0069,PROD-00083,89,68,2023-12-29
STR-0069,PROD-00084,250,93,2023-12-31
STR-0069,PROD-00085,270,91,2023-12-29
STR-0069,PROD-00086,80,63,2023-12-30
STR-0069,PROD-00087,333,56,2023-12-30
STR-0069,PROD-00088,441,87,2023-12-31
STR-0069,PROD-00089,168,28,2023-12-31
STR-0070,PROD-00080,95,67,2025-09-10
STR-0070,PROD-00081,66,60,2025-09-07
STR-0070,PROD-00082,205,27,2025-09-09
STR-0070,PROD-00083,399,95,2025-09-12
STR-0070,PROD-00084,187,91,2025-09-10
STR-0070,PROD-00085,156,48,2025-09-12
STR-0070,PROD-00086,171,93,2025-09-11
STR-0070,PROD-00087,156,95,2025-09-12
STR-0070,PROD-00088,205,90,2025-09-11
STR-0070,PROD-00089,278,88,2025-09-10
STR-0071,PROD-00080,186,37,2021-01-01
STR-0071,PROD-00081,176,35,2021-01-01
STR-0071,PROD-00082,309,61,2021-01-01
STR-0071,PROD-00083,361,72,2021-01-01
STR-0071,PROD-00084,151,30,2021-01-01
STR-0071,PROD-00085,168,33,2021-01-01
STR-0071,PROD-00086,475,95,2021-01-01
STR-0071,PROD-00087,207,41,2021-01-01
STR-0071,PROD-00088,305,61,2021-01-01
STR-0071,PROD-00089,77,15,2021-01-01
STR-0072,PROD-00090,326,71,2025-09-08
STR-0072,PROD-00091,518,35,2025-09-13
STR-0072,PROD-00092,78,59,2025-09-10
STR-0072,PROD-00093,133,59,2025-09-13
STR-0072,PROD-00094,164,81,2025-09-11
STR-0072,PROD-00095,168,15,2025-09-13
STR-0072,PROD-00096,277,54,2025-09-11
STR-0072,PROD-00097,158,95,2025-09-10
STR-0073,PROD-00090,274,96,2025-09-10
STR-0073,PROD-00091,302,83,2025-09-11
STR-0073,PROD-00092,243,77,2025-09-11
STR-0073,PROD-00093,184,15,2025-09-11
STR-0073,PROD-00094,148,72,2025-09-10
STR-0073,PROD-00095,84,29,2025-09-10
STR-0073,PROD-00096,152,51,2025-09-13
STR-0073,PROD-00097,414,84,2025-09-12
STR-0074,PROD-00090,105,64,2025-09-13
STR-0074,PROD-00091,209,60,2025-09-11
STR-0074,PROD-00092,220,59,2025-09-12
STR-0074,PROD-00093,205,83,2025-09-11
STR-0074,PROD-00094,343,41,2025-09-11
STR-0074,PROD-00095,124,18,2025-09-13
STR-0074,PROD-00096,34,16,2025-09-08
STR-0074,PROD-00097,293,14,2025-09-11
STR-0075,PROD-00090,52,43,2025-09-09
STR-0075,PROD-00091,192,41,2025-09-11
STR-0075,PROD-00092,236,25,2025-09-13
STR-0075,PROD-00093,477,25,2025-09-13
STR-0075,PROD-00094,403,40,2025-09-13
STR-0075,PROD-00095,264,84,2025-09-13
STR-0075,PROD-00096,151,82,2025-09-09
STR-0075,PROD-00097,139,15,2025-09-09
STR-0076,PROD-00090,225,67,2025-09-11
STR-0076,PROD-00091,159,93,2025-09-13
STR-0076,PROD-00092,466,90,2025-09-13
STR-0076,PROD-00093,110,71,2025-09-10
STR-0076,PROD-00094,299,98,2025-09-12
STR-0076,PROD-00095,247,11,2025-09-10
STR-0076,PROD-00096,225,14,2025-09-13
STR-0076,PROD-00097,239,88,2025-09-13
STR-0077,PROD-00098,314,86,2025-09-10
STR-0077,PROD-00099,104,10,2025-09-12
STR-0077,PROD-00100,194,38,2025-09-11
STR-0077,PROD-00101,309,80,2025-09-13
STR-0077,PROD-00102,200,45,2025-09-09
STR-0077,PROD-00103,418,32,2025-09-11
STR-0077,PROD-00104,270,63,2025-09-13
STR-0077,PROD-00105,300,92,2025-09-09
STR-0078,PROD-00098,227,19,2025-09-11
STR-0078,PROD-00099,317,65,2025-09-13
